구인상태,업체명,직종,채용인원,근무시간,근무지역,급여,성별,연령,지원방법,직무내용,등록일
구인마감,(주)에버크린,건물청소원,채용인원1명,근무시간주5일,성동구 성수동,월급 142만원,여,~70세,전화 후 방문 010-8593-2584,,2024-10-31
구인마감,기영빌딩,빌딩청소원,채용인원1명,근무시간주5일,중구 초동,월급 110만원,여,무관,전화 후 방문 010-9603-7623,,2024-10-30
구인마감,주식회사에코그린티엠,아파트 청소원,채용인원1명,근무시간주6일,성동구 옥수동,"월급 1,350,820원",여,무관,전화 후 방문 010-9253-2084,,2024-10-30
구인마감,아란유치원,건물 외곽청소원(유치원),채용인원1명,근무시간주5일,양천구 목동,"시급 12,000원",남,~65세까지,전화후 방문 02-2646-5674,,2024-10-30
구인마감,신한영관리(주),아파트청소원,채용인원1명,근무시간주6일,서초구 잠원동,월급 187만원,여,무관,팩스지원 032-433-8826,,2024-10-30
구인마감,대승종합관리(주),상가청소원,채용인원1명,근무시간주6일,강서구 화곡동,월급 171만원,여,~70세,전화 후 방문 02-2601-8750,,2024-10-30
구인마감,주식회사케이두레,학교 경비원,채용인원1명,근무시간격일,강서구 가양동,월급 159만원,남,무관,팩스지원 02-3661-0311,,2024-10-30
구인마감,(주)제이에스에프,건물관리원,채용인원1명,근무시간주5일,종로구 통의동,"시급 9,860원",남,무관,전화 후 방문 010-8216-9703,,2024-10-30
구인마감,새롬에스앤씨 주식회사,오피스텔 외곽청소원,채용인원1명,근무시간주6일,중랑구 망우동,월급 164만원,남,무관,전화 후 방문 010-2794-2475,,2024-10-29
구인마감,주식회사 크라운티엠에스,오피스텔 청소원,채용인원1명,근무시간주6일,마포구 상수동,월급 156만원,여,무관,팩스지원 0504-255-1854,,2024-10-29
구인마감,(주)동하기업,대형폐기물 수거원,채용인원1명,근무시간주6일07:00~16:00(휴게 1시간),동작구 신대방동,월350만원(식대20만원),-,무관,전화지원 010-4073-3087,,2024-10-29
구인마감,주식회사 지엔비,아파트 외곽청소원,채용인원1명,근무시간주6일,서초구 방배동,"월급 1,771,270원",남,무관,전화 후 방문 031-8045-4213,,2024-10-29
구인마감,맥서브,고속도로 통행 수납사원,채용인원1명,근무시간3교대 근무,중랑구 중랑IC,월260만원,무관,만60세 정년,이력서 팩스지원 031-527-4357,,2024-10-29
구인마감,강남역1차아이파크관리단,오피스텔 경비원,채용인원1명,근무시간격일07:00~익일07:00,서초구 서초동,월급 250만원,남,무관,팩스지원 02-532-9638,,2024-10-28
구인마감,주식회사 이에마로,학교 시설관리원,채용인원1명,근무시간주5일,강서구 등촌동,월급 206만원,남,무관,팩스지원 02-6350-1510,,2024-10-28
구인마감,주식회사 지엔비,아파트 외곽청소원,채용인원1명,"근무시간주6일, 내용참조",용산구 한강로3가,"월급 1,855,530원",남,무관,전화 후 방문 031-8045-4213,,2024-10-28
구인마감,롯데캐슬프레미어입주자대표회의,아파트 외곽청소원,채용인원2명,"근무시간주6일, 내용참조",강남구 삼성동,월급 160만원,남,무관,전화 후 방문 02-511-7208,,2024-10-28
구인마감,국도안전관리(주),공사현장 경비원,채용인원1명,근무시간격일07:00~익일07:00,관악구 봉천동,월210만원,남,무관,팩스지원 또는 문자지원,,2024-10-28
구인마감,,서울 매력일자리 전통시장 매니저,채용인원1명,"근무시간주5일, 1일 8시간 근무",강남구 역삼동,"일91,488원",무관,55세~64세,전자우편 접수,,2024-10-26
구인마감,,서울 매력일자리 전통시장 매니저,채용인원1명,"근무시간주5일, 1일 8시간 근무",강북구 수유동,"일91,488원",무관,55세~64세,방문접수 또는 전자우편 접수,,2024-10-26
구인마감,기빙플러스,매장 판매원,채용인원1명,근무시간주5일 10:45~15:15,당산역사,"시급9,900원",여,만 55세 이상,메일지원 givingps@miral.org,,2024-10-25
구인마감,(주)삼일티엠에스,빌딩경비원,채용인원1명,근무시간격일07:00~익일07:00,마포구 신공덕동,월급 249만원,남,무관,전화 후 방문 02-924-8415,,2024-10-24
구인마감,(유)탄천산업,아파트 청소원,채용인원1명,근무시간주5일,양천구 목동,"월급 1,241,580원",여,무관,전화 후 방문 070-4048-6104,,2024-10-24
구인마감,(주)다우시스템,아파트 청소원,채용인원2명,근무시간주6일,용산구 한강로2가,월급 202만원,여,무관,팩스지원 031-523-3838,,2024-10-21
구인마감,,아이돌보미,채용인원30명,근무시간공고문 참고,송파구 내 이용가정,"시급 10,110원",무관,무관,본인 방문 접수,,2024-10-21
구인마감,효성종합개발(주),주차관리원,채용인원1명,근무시간주5일,서초구 방배동,월급 150만원,남,무관,전화 후 방문 010-9185-3963,,2024-10-21
구인마감,(주)세계보안관리시스템,아파트경비원,채용인원1명,근무시간격일 06:30~06:30,구로구 구로동,월급 239만원,남,무관,전화 후 방문 010-6218-8900,,2024-10-21
구인마감,(주)승정메인터넌스,건물관리원,채용인원1명,근무시간주5일,서초구 서초동,월급 210만원,남,무관,이메일지원,,2024-10-21
구인마감,(주)세연종합관리,아파트 청소원,채용인원1명,근무시간주6일,강북구 미아동,월급 149만원,여,무관,문자지원 070-7771-7123,,2024-10-18
구인마감,(주)티에스우인,건물 청소원,채용인원1명,근무시간주5일08:00~15:00,종로구 구기동,월162만원,여,무관,*이력서 팩스지원 02-538-7730,,2024-10-18
구인마감,(주)신화비엠씨,아파트 외곽청소원,채용인원1명,근무시간주6일,동대문구 답십리동,월급 197만원,남,무관,전화 후 방문 010-5320-1546,,2024-10-17
구인마감,(주)두원에이앤씨,아파트 경비원,채용인원2명,근무시간격일06:00~익일06:00,종로구 무악동,월급 208만원,남,무관,전화 후 방문 02-865-5025,,2024-10-17
구인마감,(주)더테라원,주차관리원,채용인원1명,근무시간주3일,강남구 대치동,월급 170만원,남,무관,전화 후 방문 010-9766-9930,,2024-10-16
구인마감,이대 영타운 지웰에스테이트 관리단,빌딩경비원,채용인원1명,근무시간격일08:00~익일08:00,서대문구 대현동,월급 210만원,남,무관,팩스지원 070-8250-9035,,2024-10-15
구인마감,(주)디케이리더스,건물관리원,채용인원1명,근무시간주5일,영등포구 양평동,월급 154만원,남,무관,팩스지원 02-6746-5533,,2024-10-14
구인마감,(주)인화종합관리,주차관리원,채용인원1명,근무시간주6일,도봉구 창동,월급 213만원,남,무관,전화지원 010-5396-5845,,2024-10-14
구인마감,(주)범주,건물관리원,채용인원1명,근무시간격일 : 06:30~06:30,양천구 목동,월급 229만원,남,무관,팩스지원 02-2658-3348,,2024-10-14
구인마감,(유)원광,아파트청소원,채용인원1명,근무시간주6일,강북구 미아동,"월급 1,414,910원",여,~72세,전화지원 010-6715-4266,,2024-10-14
구인마감,,공원 녹지 관리원,채용인원8명,근무시간주5일,용산구 관내,"일급 78,880원",무관,만18세 이상~만75세 이하,용산구청 직접 방문접수,,2024-10-14
구인마감,(주)듀델코리아,건물경비원(오피스텔),채용인원1명,근무시간격일07:00~익일07:00,영등포구 영등포동,"월급 2,172,000원",남,무관,팩스지원 02-2135-9856,,2024-10-11
구인마감,(주)한강티에스,아파트 외곽청소원,채용인원1명,근무시간주6일,성동구 행당동,"월급 1,720,980원",무관,무관,전화 후 방문 010-7223-4004,,2024-10-11
구인마감,태일빌딩,시설관리원(빌딩),채용인원1명,근무시간주5일,강북구 수유동,월급 220~230만원,남,무관,방문지원 010-4761-4426,,2024-10-10
구인마감,친정맘,산후도우미,채용인원1명,근무시간주5일09:00~18:00,영등포구/마포구,"일급105,000원~최대213,000원",여,무관,*전화문의 02-858-1300,,2024-10-10
구인마감,(주)풀무원,건물 청소원,채용인원1명,근무시간주5일 (화~토),종로구 관훈동,월급 208만원,무관,무관,이메일 지원 kinaa@pulmuone.com,,2024-10-10
구인마감,영조사,건물관리원,채용인원1명,근무시간주5일09:00~18:00,중구 방산동,"연봉3,120원",남,무관,*전화 후 방문 면접 010-5385-9273,,2024-10-08
구인마감,영조사,건물 청소원,채용인원1명,"근무시간주6일08:30~15:00,토~12:00",중구 방산동,월125만원,여,무관,*전화 후 방문 면접 010-5385-9273,,2024-10-08
구인마감,(주)삼오관리,건물관리원,채용인원1명,근무시간격일07:00~익일07:00,관악구 신림동,월급 280만원,남,무관,전화 후 방문 010-4735-7246,,2024-10-08
구인마감,기빙플러스,매장 판매원,채용인원역사별 1명,근무시간근무내용 참조,마곡나루/먹골/당산/상계/흑석,"시급9,900원",여,만 55세 이상,메일지원 givingps@miral.org,,2024-10-07
구인마감,크린존,건물 청소원(학원),채용인원1명,근무시간주6일,동작구 노량진동,월급 145만원,여,무관,전화 후 방문 010-3000-7995,,2024-10-07
구인마감,(주)동우유니온,건물 경비원,채용인원1명,근무시간주5일,동작구 신대방동,"월급 2,300,000원",남,무관,팩스지원 02-3284-3650,,2024-10-07
구인마감,(주)지혜,건물 경비원,채용인원1명,근무시간격일08:00~익일08:00,은평구 대조동,"월급 1,870,000원",남,무관,팩스지원 02-355-8462,,2024-10-07
구인마감,(주)에스에이치자산관리,건물 경비원,채용인원1명,근무시간격일07:00~익일07:00,서초구 우면동,"월급 2,174,340원",남,무관,팩스지원 02-443-7086,,2024-10-07
구인마감,창동 동아청솔아파트,아파트 청소원,채용인원1명,"근무시간주6일09:00~15:00,토09~12시",도봉구 창동,월140만원,여,무관,*상담사 알선 02-6220-8640,,2024-10-07
구인마감,(주)크린산업개발,건물 청소원,채용인원1명,근무시간주5일,중구 흥인동,189만원,여,무관,전화 후 방문 010-5495-0070,,2024-10-04
구인마감,(주)신현대관리,아파트 경비원,채용인원1명,근무시간주5일,관악구 봉천동,"2,313,649원",남,무관,팩스지원 02-471-0147,,2024-10-04
구인마감,(주)세원종합관리,외곽 청소원,채용인원1명,"근무시간주6일, 내용참조",송파구 오금동,"월급 1,642,120원",남,무관,전화 후 방문 010-3128-3560,,2024-10-04
구인마감,(주)썬앤문,건설현장 경비원,채용인원1명,근무시간주6일 06:00~18:00,송파구 신천동,월298만원,남,무관,이력서 팩스 지원 및 메일지원,,2024-10-04
구인마감,설봉빌딩,청소원(빌딩),채용인원1명,"근무시간주5일, 내용참조",종로구 동숭동,월급 50만원,무관,~70세,*전화통화 후 방문 010-2774-6889,,2024-10-02
구인마감,구립100세데이케어센터,운전원,채용인원1명,"근무시간주5일, 내용참조",동작구 신대방동,월급 140만원,남,~65세,*이메일지원,,2024-10-02
구인마감,성현사,세차원,채용인원1명,근무시간주5일 07:00~12:00,종로구 신문로2가,월150만원,남,55세~61세,*전화 후 방문  010-2218-4357,,2024-10-02
구인마감,(주)한국커리어서치,빌딩 관리소장,채용인원1명,근무시간주5일,강남구 역삼동,월급 275만원,남,~65세,*이메일 jsjs0188@onjob.co.kr,,2024-10-02
구인마감,주식회사 이도,경비원(빌딩),채용인원1명,근무시간격일08:00~익일08:00,강남구 청담동,월급 256만원,남,~65세,*이메일지원 ksh123@yido.com,,2024-10-02
구인마감,주식회사 대성비엠에스,빌딩 청소원,채용인원1명,근무시간주5일06:00~08:00,강남구 청담동,월 60만원,여,60세~70세,*상담사 알선 02-6220-8640,,2024-08-23
구인마감,조선아이에스(주),신문 배달원,채용인원11명,근무시간주6일02:00~05:30(새벽),서울 및 수도권(거주지 인접지역 우선배정),근무내용 참조,무관,무관,*상담사 알선 02-6220-8640,,2024-08-23
구인마감,주식회사 모르제,사무원(정보통신공사업),채용인원1명,근무시간주5일 13:00~17:00(협의 가능),금천구 가산동,"시급9,860원(협의 가능)",무관,~70세,*상담사 알선 02-6220-8640,,2024-08-23
구인마감,명일중앙하이츠입주자대표회의,셔틀버스 운전원,채용인원1명,근무시간근무시간 참조,강동구 상일동,월 212만원,남,~68세,*상담사 알선 02-6220-8640,,2024-08-23
구인마감,(주)더본코리아,사무실 미화직원(장애인채용),채용인원2명,근무시간주5일08:00~13:00,강남구/서초구,월116만원,여,55세~65세,*상담사 알선 02-6220-8640,,2024-08-23
구인마감,(주)한국보안컨설팅,아파트 경비원,채용인원2명,근무시간격일06:00~익일06:00,강북구 우이동,월239만원,남,55세~69세,*상담사 알선 02-6220-8640,,2024-08-23
구인마감,부림산업개발,빌딩 경비원,채용인원1명,근무시간격일07:00~익일07:00,중구 서소문동,월215만원,남,~70세,*상담사 알선 02-6220-8640,,2024-08-22
구인마감,(주)에스피에스,[시니어인턴십] 이마트 주차도우미,채용인원2명,근무시간주5일 근무내용 참조,은평구 응암동,월180만원,남,만60~64세,*상담사 알선 02-6220-8640,,2024-08-22
구인마감,금빛데이케어센터,데이케어센터 간호조무사,채용인원1명,근무시간근무내용 참조,금천구 시흥동,월206만원,여,~64세,*상담사 알선 02-6220-8640,,2024-08-22
구인마감,금빛데이케어센터,시설 요양보호사,채용인원1명,근무시간주5일 09:00~18:00,금천구 시흥동,월206만원,여,~64세,*상담사 알선 02-6220-8640,,2024-08-22
구인마감,청오종합관리(주),초등학교 경비원,채용인원1명,"근무시간격일 16:30 ~ 익일08:30, 내용 참고",중구 신당동,월 92만원,남,~82세까지,*상담사 알선 02-6220-8640,,2024-08-22
구인마감,(주)에스피에스,이마트 주차도우미 및 카트수거원,채용인원3명,근무시간근무내용 참조,양천구 목동,근무내용 참조,남,~65세,*상담사 알선 02-6220-8640,,2024-08-22
구인마감,주식회사 삼일시스템,아파트 외곽 청소원,채용인원1명,"근무시간주6일08:30~15:30,토 3시간",강남구 역삼동,월169만원,남,~72세,*상담사 알선 02-6220-8640,,2024-02-19
구인마감,주식회사천장지구,빌딩 청소원,채용인원2명,"근무시간주6일 08:30~15:00,토08:30~12",동작구 노량진동,월156만원,여,~72세,*상담사 알선 02-6220-8640,,2024-01-19
