구인상태,근무내용,근무시간,근무지역,급여,등록일,성별,업체명,연령,지원방법,지원서류,직종,채용인원
구인상태구인마감,"근무내용<주식회사태양삼차원환경>- 아파트 경비원 1명*단지내 입주민 안전 및 질서유지, 분리수거, 주차관리, 순찰 업무*격일, 06:00~익일 06:00*월급 2,213,130원*계약직(3개월/계약만료 후 상용직 전환검토)*남, 일반경비원 신임교육이수증 필수*근무지 : 광진구 아차산로70길 62(광장동) 현대3단지아파트 / 5호선 광나루역 3번출구*지원방법 : 이력서 사진 찍어 문자 전송 010-8515-1709 / 팩스지원 031-568-2950*지원서류 : 이력서*정보출처 : 고용24","근무시간격일, 06:00~익일06:00",근무지역광진구 광장동,"급여월급 2,213,130원",등록일2024-12-24,성별남,업체명주식회사태양삼차원환경,연령무관,지원방법이력서 문자지원 010-8515-1709,지원서류,직종아파트 경비원,채용인원1명
구인상태구인마감,"근무내용<주식회사 에스디개발관리>- 시설관리원 2명*전기, 소방, 기계설비, 주차타워 등 안전관리 업무*격일 09:00~익일 09:00*월급 280만원*상용직*남,경력자 우대,전기기능사, 소방안전관리자, 기계식주차관리자 등 자격증 소지자 우대*근무지 : 강남구 언주로 624 (논현동) 아츠 관리사무소  / 학동역 1번 출구*지원방법 : 팩스지원 02-540-6241 / 이메일지원 aatz231030@naver.com*지원서류 : 이력서, 자기소개서*정보출처 : 고용24",근무시간격일 09:00~익일 09:00,근무지역강남구 논현동,급여월급 280만원,등록일2024-12-24,성별남,업체명주식회사 에스디개발관리,연령무관,지원방법팩스지원 02-540-6241,지원서류,직종시설관리원,채용인원2명
구인상태구인마감,"근무내용<(주)두원에이앤씨>- 아파트 청소원 2명*내부 커뮤니티 체육시설, 사우나 청소 업무*주6일 1조 08:00-15:00 / 2조 15:00-22:00 (휴게 1시간)*월급 181만원*계약직(12개월)*남, ~65세까지*근무지 : 동대문구 답십리로 27 (전농동) 청량리역 롯데캐슬 / 청량리역 5번 출구*지원방법 : 전화 후 방문 010-5021-5716*지원서류 : 이력서*정보출처 : 고용24",근무시간주6일,근무지역동대문구 전농동,급여월급 181만원,등록일2024-12-24,성별남,업체명(주)두원에이앤씨,연령~65세까지,지원방법전화 후 방문 010-5021-5716,지원서류,직종아파트 청소원,채용인원2명
구인상태구인마감,"근무내용<(주)씨엠시설관리>- 빌딩 경비원 1명 모집*격일, 06:00~익일 06:00 (휴게: 주간6.5, 야간7.5시간)*월급 170만원*계약직(12개월)*남, 경비교육 이수,경력 1년 우대, 쌀 지원*근무지 : 종로구 인사동5길 20 (관훈동) 오원빌딩*지원방법 : 전화 후 방문 010-6341-2517*지원서류 : 이력서*정보출처 : 고용24","근무시간격일, 06:00~익일 06:00",근무지역종로구 관훈동,급여월급 170만원,등록일2024-12-24,성별남,업체명(주)씨엠시설관리,연령~72세까지,지원방법전화 후 방문 010-6341-2517,지원서류,직종빌딩 경비원,채용인원1명
구인상태구인마감,"근무내용<(주)경진이앤지>- 아파트 경비원 1명*아파트 정문차량부스 내 업무격일, 06:00~익일06:00 (휴게 10.6시간)*월급 215만원*계약직(12개월)*남, 일반경비원 신임교육 이수증 필수, 복지카드 소지 필수*근무지 : 성동구 성수동1가 상원길 63, 성수쌍용아파트 / 뚝섬역 2번 출구*지원방법 : 전화 후 방문 010-3721-8712 /  팩스지원 02-2684-8264*지원서류 : 이력서*정보출처 : 고용24",근무시간격일 06:00~익일06:00,근무지역성동구 성수동,급여월급 215만원,등록일2024-12-24,성별남,업체명(주)경진이앤지,연령~72세까지,지원방법전화 후 방문 010-3721-8712,지원서류,직종아파트 경비원,채용인원1명
구인상태구인마감,"근무내용<(주)씨엠시설관리>- 빌딩 청소원 1명*빌딩 공용부, 화장실 청소 업무*주5일, 06:00~14:00 (휴게 2시간)*월급 174만원, 쌀 제공*계약직(12개월)*여, 경력 1년 이상*근무지 : 강남구 테헤란로26길 6(역삼동) 진성빌딩 / 역삼역 3번 출구*지원방법 : 전화 후 방문 010-6341-2517*지원서류 : 이력서*정보출처 : 고용24",근무시간주5일,근무지역강남구 역삼동,급여월급 174만원,등록일2024-12-24,성별여,업체명(주)씨엠시설관리,연령무관,지원방법전화 후 방문 010-6341-2517,지원서류,직종빌딩 청소원,채용인원1명
구인상태구인마감,"근무내용<비씨엔서비스(주)>- 빌딩 경비원 1명*빌딩 경비 업무*월급 220만원*격일교대 / 평일: 14:00~익일07:30(격일근무),  토,일,공휴일: 07:00~익일 07:00(24시간 격일)*상용직*남, 경비교육 우대, 경력자 우대*근무지 : 강남구 영동대로 312 (대치동) / 삼성역 인근*지원방법: 팩스지원 02-3295-4898*지원서류: 이력서",근무시간*격일교대 / 평일: 14:00~익일07:30,근무지역강남구 대치동,급여월급 220만원,등록일2024-12-23,성별남,업체명비씨엔서비스(주),연령~72세,지원방법이력서 팩스지원 02-3295-4898,지원서류,직종빌딩 경비원,채용인원1명
구인상태구인마감,"근무내용<(주)두원에이앤씨>- 아파트 외곽 청소원 1명*외곽청소 및 관리실 관리 업무*주5일, 09:00~16:00 (화 09:00~18:00, 분리수거업무)*월급 177만원*상용직*남*근무지 : 종로구 통일로 246-11(무악동) 무악현대아파트 / 독립문역 3-1번 출구*지원방법 : 팩스지원 02-861-5026 / 전화문의 02-865-5025*지원서류 : 이력서*정보출처 : 고용24",근무시간주5일,근무지역종로구 무악동,급여월급 177만원,등록일2024-12-20,성별남,업체명(주)두원에이앤씨,연령무관,지원방법팩스지원 02-861-5026,지원서류,직종아파트 외곽 청소원,채용인원1명
구인상태구인마감,"근무내용<승인산업주식회사>- 아파트 외곽 청소원 3명*아파트 외곽 청소 업무*주6일, 평일 09:00~16:00(휴게 1시간) / 격주토 09:00~12:00*월급 159만원*계약직(3개월)*남*근무지 : 성동구 독서당로 272(금호동), 금호대우아파트 / 옥수역 1번출구*지원방법 : 전화 후 방문 02-923-3231 / 팩스지원 02-923-3354*지원서류 : 이력서*정보출처 : 고용24",근무시간주6일,근무지역성동구 금호동,급여월급 159만원,등록일2024-12-20,성별남,업체명승인산업주식회사,연령무관,지원방법전화 후 방문 02-923-3231,지원서류,직종아파트 외곽 청소원,채용인원3명
구인상태구인마감,"근무내용<센시티16공동주택대표회의>- 오피스텔 관리원 1명*분리수거, 외곽청소, 주차관리 업무 등*격일, 07:00~익일07:00(휴게시간:오후10시 30분~익일(오전) 5시 30분, 12:00~13:30, 17:30~19:30)*월급 2,193,000원*계약직(12개월)*남, 근거리 거주자, 경력 1년이상 우대*근무지 : 동대문구 전농로 16, 센시티16 관리사무소(답십리동) / 5호선 답십리 4번출구*지원방법 : 전화 후 방문 02-2248-2620,이력서 사진찍어 문자전송 가능 02-2248-2620*지원서류 : 이력서*정보출처 : 고용24","근무시간격일, 07:00~익일07:00",근무지역동대문구 답십리동,"급여월급 2,193,000원",등록일2024-12-20,성별남,업체명센시티16공동주택대표회의,연령~68세까지,지원방법전화 후 방문 02-2248-2620,지원서류,직종오피스텔 관리원,채용인원1명
구인상태구인마감,"근무내용<한림종합관리(주)>- 빌딩 경비원 1명*순찰 및 건물 내 관리, 야간 재활용 분리 업무*격일, 06:30~06:30(휴게 11시간)*월급 226만원*계약직(6개월)*남, 일반경비원신임교육 이수증 필수*근무지 : 광진구 아차산로 229(화양동) 한림타워  / 건대입구역 1번출구*지원방법 : 문자지원(이력서 사진찍어 문자발송) 010-2411-2882*지원서류 : 이력서*정보출처 : 고용24",근무시간격일06:30~익일06:30,근무지역광진구 화양동,급여월급 226만원,등록일2024-12-19,성별남,업체명한림종합관리(주),연령무관,지원방법문자지원 010-2411-2882,지원서류,직종빌딩 경비원,채용인원1명
구인상태구인마감,"근무내용<하나로퀵서비스>- 지하철배송원 10명*직무- 대중교통 이용 서울, 수도권 서류 배송 업무- 건강하고 길찾기 가능하신 분*주5일, 평일 09:00~18:00 (탄력근무 가능)*평균 50만원 이상*상용직*성별무관, 65~70세까지*근무지 : 중구 을지로 4가 74 3층 / 을지로4가역 1번출구*지원방법 : 전화지원 1588-5174*지원서류 : 이력서*정보출처 : 서울노인복지센터",근무시간주5일,"근무지역서울, 수도권",급여평균 50만원 이상,등록일2024-12-17,성별무관,업체명하나로퀵서비스,연령~70세까지,지원방법전화지원 1588-5174,지원서류,직종지하철 배송원,채용인원10명
구인상태구인마감,"근무내용<메트로불광센터>- 단순직(일용) 1명*경복궁역 인근 배송된 신문을 신문함에 진열(배포)하는 업무*주5일, 평일 07:00~09:00*시급 9,860원(약 39만원)*상용직*성별무관, 연령무관*근무지 : 종로구 사직로 130 / 경복궁역 인근*지원방법 : 전화지원 010-8304-0159*지원서류 : 이력서*정보출처 : 서울노인복지센터",근무시간주5일 07:00~09:00,근무지역종로구 적선동,"급여시급 9,860원",등록일2024-12-17,성별무관,업체명메트로불광센터,연령무관,지원방법전화지원 010-8304-0159,지원서류,직종단순직,채용인원1명
구인상태구인마감,"근무내용<태영건물종합관리 주식회사>- 아파트 외곽 청소원 1명*주6일, 평일 8:30~15:30(휴게시간 11:30~13:30) / 토 09:00~10:00*월급: 25년 임금 1,479,620원 (시급 10,030원)*계약직 (17개월/계약기간 만료 후 상용직전환검토)*남, 청소경력자우대, 출근일 25.01.01*근무지 : 성북구 길음로 74 (길음동) 래미안길음2차 / 길음역 7번출구*지원방법 : 전화 후 방문 010-2890-8039*지원서류 : 이력서*정보출처 : 고용24",근무시간주6일,근무지역성북구 길음동,"급여월급 1,479,620원",등록일2024-12-17,성별남,업체명태영건물종합관리 주식회사,연령~73세까지,지원방법전화 후 방문 010-2890-8039,지원서류,직종아파트 외곽청소원,채용인원1명
구인상태구인마감,"근무내용<(주)듀델코리아>- 아파트 경비원 1명*아파트 경비 업무*격일, 06:00~익일 06:00 (휴게 10시간)*월급 228만원*계약직(3개월)*남, 신임경비교육이수자 필수, 복지카드 소지자 우대*근무지 : 관악구 조원로16길 7(신림동) 신도브래뉴아파트 / 신대방역 2번출구*지원방법 : 전화 후 방문 010-8323-9294*지원서류 : 이력서*정보출처 : 고용24",근무시간격일06:00~익일06:00,근무지역관악구 신림동,급여월급 228만원,등록일2024-12-17,성별남,업체명(주)듀델코리아,연령무관,지원방법전화 후 방문 010-8323-9294,지원서류,직종아파트 경비원,채용인원1명
구인상태구인마감,"근무내용<주식회사케이두레>- 주차관리원 1명*건물 관리, 주차관리 업무*격일, 06:30~익일06:30 (휴게 9.5시간)*월급 248만원*계약직(12개월)*남, 운전면허 필수*근무지 : 강서구 공항대로 287 (등촌동) / 발산역 4번출구*지원방법 : 전화 후 방문 010-2525-8272*지원서류 : 이력서*정보출처 : 고용24",근무시간격일06:30~익일06:30,근무지역강서구 등촌동,급여월급 248만원,등록일2024-12-17,성별남,업체명주식회사케이두레,연령~67세까지,지원방법전화 후 방문 010-2525-8272,지원서류,직종주차관리원,채용인원1명
구인상태구인마감,"근무내용<코오롱엘에스아이주식회사>- 빌딩 외곽 청소원 1명*빌딩 외곽 청소 업무*주5일, 07:00~16:00*월급 198만원*계약직(12개월)*남, 경력 1년이상*근무지 : 강서구 화곡로 416 (등촌동) 지식산업센터 / 가양역 7번출구*지원방법 : 문자지원(이력서 사진찍어 문자발송) 010-5081-1092 / 이메일지원 skyv05@naver.com*지원서류 : 이력서*정보출처 : 고용24",근무시간주5일,근무지역강서구 등촌동,급여월급 198만원,등록일2024-12-17,성별남,업체명코오롱엘에스아이주식회사,연령무관,지원방법문자지원(이력서) 010-5081-1092,지원서류,직종빌딩 외곽 청소원,채용인원1명
구인상태구인마감,"근무내용<(주)경진이앤지>- 아파트 경비원 2명*아파트 경비 업무*격일, 06:00~익일 06:00 (휴게 9.5시간)*월급 236만원*계약직(8개월)*남, 신임경비교육이수자 필수*근무지 : 강서구 등촌로 163 (등촌동) 아이파크 / 등촌역 7번출구*지원방법 : 팩스지원 02-2684-8264*지원서류 : 이력서*정보출처 : 고용24",근무시간격일06:00~익일06:00,근무지역강서구 등촌동,급여월급 236만원,등록일2024-12-17,성별남,업체명(주)경진이앤지,연령무관,지원방법팩스지원 02-2684-8264,지원서류,직종아파트 경비원,채용인원2명
구인상태구인마감,"근무내용<동대문구시설관리공단>- 사무보조원 1명*직무- 접수처 및 민원관리 업무- 이용요금 수납 및 수입금 관리- 사무행정 업무- 기타 일반업무 지원*주6일, 화~일 18:30~23:00 일4시간 근무 (야간전담 인력 / 단시간근로자)*시급 11,779원*계약직(3개월), 3개월 단위 연장계약 체결*60세 이상*근무지 : 동대문구 무학로 89 동대문구시설관리공단 / 신설동역 9번출구*지원방법 : 공단 누리집 내 채용접수(지원서작성) 에서 온라인 작성 입력 후 지원(https://www.dfmc.kr/course/recruit_new/recruit_list.asp)접수 바로가기*지원서류 : 공단 누리집 참조*정보출처 : 동대문구시설관리공단채용문의02-6929-0391",근무시간주6일 내용참조,근무지역동대문구 용두동,"급여시급 11,779원",등록일2024-12-17,성별무관,업체명동대문구시설관리공단,연령60세이상,지원방법온라인접수,지원서류,직종사무보조원,채용인원1명
구인상태구인마감,"근무내용<주식회사에프터클린>- 빌딩 경비원 1명*빌딩 경비 업무*주6일, 09:00~19:00, 토 09:00-12:00*월급 230만원*상용직*남, 소방안전, 승강기안전관리자 자격증 필수*근무지 : 강남구 논현로167길 19(신사동) 남도빌딩  / 압구정역 4번출구*지원방법 : 팩스지원 0505-304-5404*지원서류 : 이력서*정보출처 : 고용24",근무시간주6일,근무지역강남구 신사동,급여월급 230만원,등록일2024-12-13,성별남,업체명주식회사에프터클린,연령무관,지원방법팩스지원 0505-304-5404,지원서류,직종빌딩 경비원,채용인원1명
구인상태구인마감,"근무내용<(주)듀델코리아>- 아파트 외곽 청소원 1명*아파트 외곽 청소 업무*주6일, 08:00~15:00(휴게 1시간), 격주 토 08:00-11:00*월급 183만원*계약직(3개월)*남, 복지카드 소지자 우대*근무지 : 은평구 통일로 630 (녹번동) 래미안베라힐즈 / 녹번역 1번출구*지원방법 : 전화 후 방문 010-9012-0216*지원서류 : 이력서*정보출처 : 고용24",근무시간주6일,근무지역은평구 녹번동,급여월급 183만원,등록일2024-12-13,성별남,업체명(주)듀델코리아,연령무관,지원방법전화 후 방문 010-9012-0216,지원서류,직종아파트 외곽 청소원,채용인원1명
구인상태구인마감,"근무내용<엘림에스(유)>- 아파트 외곽 청소원 1명*아파트 외곽 청소 업무*주6일, 평일 09:00~16:00 (휴게 1.5시간), 토 09:00~12:00*월급 156만원*계약직(3개월)*남, 복지카드 소지자 우대*근무지 : 강서구 공항대로 382 (화곡동) 우장산롯데캐슬*지원방법 : 전화 후 방문 010-3899-6914 / 팩스지원 070-4170-4501*지원서류 : 이력서*정보출처 : 고용24",근무시간주6일,근무지역강서구 화곡동,급여월급 156만원,등록일2024-12-13,성별남,업체명엘림에스(유),연령무관,지원방법전화 후 방문 010-3899-6914,지원서류,직종아파트 외곽 청소원,채용인원1명
구인상태구인마감,"근무내용2025년 서울 동행일자리 사업(지하철 안전도우미) 참여자 모집채용공고 바로가기1. 신청기간: 2024.12. 12.(목)~ 2024.12. 18.(수) 17:002. 사업기간: 2025. 1. 23.(목) ~ 2025. 6. 30.(월) (5개월 7일)* 합격자 발표 일정에 따라 시작일 변동 가능, 연장 계약 및 정규직 전환 불가3. 모집인원:(오전) 혼잡도 안전도우미 75명(오후) 취약시간 안전도우미 75명4. 근무지: 서울교통공사 266개 역5. 근무시간: 택 1(혼잡도 안전도우미) 월~금(주 5일) / 07:00 ~ 12:00(취약시간 안전도우미) 월~금(주 5일) / 16:00 ~ 22:00* 역운영 상황에 따라 쌍방 합의 후 변경 가능(토,일,공휴일 근무 등)6. 신청방법: 현장접수- 현장접수: 2024. 12. 12.(목) ~ 12. 18.(수) 10:00 ~ 17:00(토,일 제외)* 현장접수 위치:마장역 지하 2층 고객안전실 앞 교양실7. 문의처: 서울교통공사 영업계획처☎02-6311-2024채용공고 바로가기",근무시간내용참조,근무지역서울교통공사 266개 역,급여내용참조,등록일2024-12-13,성별무관,업체명서울교통공사,연령18세 이상,지원방법현장접수 02-6311-2024,지원서류지하철안전도우미 신청서류.zip,직종지하철 안전도우미,채용인원150명
구인상태구인마감,"근무내용<한국신문수송(주)>- 단순포장원(신문포장) 1명*신문 포장 업무*주5일 14:00~19:00 (일~목 근무)*월급 125만원*상용직*여, 오래 근무하실 분*근무지 : 서대문구 충정로3가 동아일보 발송장 / 충정로역 8번 출구*지원방법 : 팩스지원 02-392-8080 / 이메일지원 seunmi@naver.com*지원서류 : 이력서*정보출처 : 서울노인복지센터",근무시간주5일,근무지역서대문구 충정로3가,급여월급 125만원,등록일2024-12-13,성별여,업체명한국신문수송(주),연령~63세까지,지원방법팩스지원 02-392-8080,지원서류,직종단순포장원,채용인원1명
구인상태구인마감,"근무내용<(주)신화비엠씨>
- 아파트 외곽 청소원 1명
*빌딩 외곽 청소 업무
*주6일, 평일 08:00~16:00, 토 09:00~13:00
*월급 197만원 
*계약직(3개월)
*남
*근무지 : 동대문구 답십리로 130 (답십리동) 래미안위브 / 답십리역 1번출구 
*지원방법 : 전화 후 방문 010-5320-1546
*지원서류 : 이력서
*정보출처 : 고용24",근무시간주6일,근무지역동대문구 답십리동,급여월급 197만원,등록일2024-12-10,성별남,업체명(주)신화비엠씨,연령무관,지원방법전화 후 방문 010-5320-1546,지원서류,직종아파트 외곽 청소원,채용인원1명
구인상태구인마감,"근무내용<(주)제일개발피스>
- 빌딩 경비원 1명
*빌딩 경비 업무
*격일, 06:30~익일06:30 
*월급 247만원
*계약직(12개월)
*남, 일반경비원신임교육 이수증 필수
*근무지 : 강남구 강남대로98길 11 메트로빌딩 / 강남역 11번출구 
*지원방법 : 전화 후 방문 010-3999-5136
*지원서류 : 이력서
*정보출처 : 고용24",근무시간격일06:30~익일06:30,근무지역강남구 역삼동,급여월급 247만원,등록일2024-12-09,성별남,업체명(주)제일개발피스,연령무관,지원방법전화 후 방문 010-3999-5136,지원서류,직종빌딩 경비원,채용인원1명
구인상태구인마감,"근무내용<송간기업(주)>
- 건물 경비 및 주차관리원 1명
*주5일, 08:00~23:00(휴게 2시간) / 1일 근무 1일 휴무
*월급 211만원
*계약직 (12개월)
*남, 일반경비원신임교육 이수증 필수
*근무지 : 강남구 도곡로 450 (대치동) 덕산빌딩 / 분당선 한티역 3번출구
*지원방법 : 전화 후 방문 02-3442-4436 / 팩스지원 02-3442-4438
*지원서류 : 이력서
*정보출처 : 고용24",근무시간주5일,근무지역강남구 대치동,급여월급 211만원,등록일2024-12-09,성별남,업체명송간기업(주),연령~65세까지,지원방법전화 후 방문 02-3442-4436,지원서류,직종경비주차관리원,채용인원1명
구인상태구인마감,"근무내용<(유)탄천산업>
- 아파트 경비원 1명
*아파트 경비 업무
*격일, 06:00~익일06:00 (휴게시간 주간3.5시간, 야간6시간) 
*월급 232만원
*계약직(12개월)
*남, 일반경비원신임교육 이수증 필수
*근무지 : 동작구 동작대로29길 115 (사당동) 우성아파트 / 총신대입구역 14번출구 
*지원방법 : 전화 후 방문 010-9003-8350
*지원서류 : 이력서
*정보출처 : 고용24",근무시간격일06:00~익일06:00,근무지역동작구 사당동,급여월급 232만원,등록일2024-12-09,성별남,업체명(유)탄천산업,연령무관,지원방법전화 후 방문 010-9003-8350,지원서류,직종아파트 경비원,채용인원1명
구인상태구인마감,"근무내용<주식회사태양삼차원환경>
- 아파트 청소원 1명
*아파트 내부 청소 업무
*주6일, 평일08:30~15:00(휴게 1시간). 토 08:00~12:00 
*월급 174만원
*계약직(3개월, 계약만료 후 상용직전환 검토)
*여
*근무지 : 강남구 압구정로29길 71 (압구정동) 현대아파트 / 압구정역 1번출구
*지원방법 : 전화 후 방문 010-5244-1145 / 팩스지원 031-291-7714
*지원서류 : 이력서
*정보출처 : 고용24",근무시간주6일,근무지역강남구 압구정동,급여월급 174만원,등록일2024-12-09,성별여,업체명(유)원광,연령무관,지원방법전화 후 방문 010-5244-1145,지원서류,직종아파트 청소원,채용인원1명
구인상태구인마감,"근무내용<주식회사태양삼차원환경>
- 아파트 경비원 1명
*경비, 입주민 안전 및 질서유지 업무
*격일, 06:00~익일06:00 
*월급 209만원
*계약직(2개월, 계약만료 후 상용직전환 검토)
*남, 일반경비원신임교육 이수증 필수
*근무지 : 노원구 동일로208길 19 (중계동) 무지개아파트 / 중계역 2번출구
*지원방법 : 팩스지원 031-568-2950 / 이메일지원 3dsun2010@naver.com
*지원서류 : 이력서
*정보출처 : 고용24",근무시간격일06:00~익일06:00,근무지역노원구 중계동,급여월급 209만원,등록일2024-12-09,성별남,업체명주식회사태양삼차원환경,연령무관,지원방법팩스지원 031-568-2950,지원서류,직종아파트 경비원,채용인원1명
구인상태구인마감,"근무내용<(주)삼일공사>-아파트 청소원 1명*아파트 내부청소(신주있음) 업무*주6일, 평일09:00~15:30 토09:00~12:00*월급 1,413,780원(복지카드 소지자 10만원 별도수당지급)*계약직(6개월)*여*근무지 : 성북구 정릉로 305 (정릉동) 길음뉴타운 경남아너스빌 / 길음역 3번출구*지원방법 : 전화 후 방문 010-7149-1208*지원서류 : 이력서*정보출처 : 고용24",근무시간주6일,근무지역성북구 정릉동,"급여월급 1,413,780원",등록일2024-12-09,성별여,업체명(주)삼일공사,연령무관,지원방법전화 후 방문 010-7149-1208,지원서류,직종아파트 청소원,채용인원2명
구인상태구인마감,"근무내용<유원종합관리(주)>
-아파트 전기관리원 1명
*관리비 및 전기요금 관리, 관리 업무 겸직
*주5일 09:00~18:00
*월급 341만원
*계약직(3개월)
*남, 경력 1년이상, 전기기사 필수, OA활용 가능자
*근무지 : 양천구 신정로11길 63(신정동) 푸른마을 3단지아파트
*지원방법 : 전화 후 방문 02-2060-9498 / 이메일지원 pulun3@naver.com
*지원서류 : 이력서, 자기소개서, 자격증 첨부
*정보출처 : 고용24",근무시간주5일,근무지역양천구 신정동,급여월급 341만원,등록일2024-12-09,성별남,업체명유원종합관리(주),연령무관,지원방법이메일지원 pulun3@naver.com,지원서류,직종전기관리원,채용인원1명
구인상태구인마감,"근무내용<줌마지하철택배>지하철 배송원 5명*건강하고 스마트폰 문자 보실 수 있는 분, 지하철을 이용한 소형물건 배송,동대문역 주변 및 인근 지하철 배송 오더를 받아 물건 배송*주5일 09:00~18:00 (토요일 자유근무)*급여 50만원~최대 120만원(본인 7.5 : 회사 2.5)*남,  만 65세 이상*근무지 : 서울 및 동대문역 인근*지원방법 : 전화 후 방문 010-3058-0358*정보출처 : 서울노인복지센터",근무시간주5일,근무지역서울 및 동대문역 인근,급여급여 50만원 이상,등록일2024-12-06,성별남,업체명줌마지하철택배,연령65세 이상,지원방법전화 후 방문 010-3058-0358,지원서류,직종지하철 택배원,채용인원5명
구인상태구인마감,"근무내용<에이치디씨랩스(주)>
- 외곽 청소원 1명
*재활용 수거, 주차장 청소 등 업무
*주5일, 2일 교대제 휴무/오후 2시 00분~오후 10시 00분(휴게: 1.5시간)
*월급 1,820,000원
*계약직(12개월,12월31일까지 직무평가 후 12개월 계약연장)
*남
*근무지 : 광진구 능동로 90, 더클래식500 (자양동) / 2, 7호선 건대입구역
*지원방법 : 문자지원 010-7114-2119 (사진부착 이력서 사진 찍어서 문자발송)
*지원서류 : 이력서
*정보출처 : 고용24",근무시간주5일,근무지역광진구 자양동,급여월급 182만원,등록일2024-12-03,성별남,업체명에이치디씨랩스(주),연령무관,지원방법문자지원 010-7114-2119,지원서류,직종외곽 청소원,채용인원1명
구인상태구인마감,"근무내용<(주)유앤알컴퍼니>
- 주차관리원 1명
*주차/발렛서비스, 병원 내방객 응대 업무
*주6일, 평일 09:00~18:00, 토요일 09:00~13:00
*월급 273만원, 1식 제공
*계약직(12개월)
*남, 운전면허 필수
*근무지 : 강남구 도곡로 214(도곡동) 서울본브릿지병원 
*지원방법 : 전화 후 방문 02-547-2283 / 팩스지원 02-547-2286
*지원서류 : 이력서
*정보출처 : 고용24",근무시간주6일,근무지역강남구 도곡동,급여월급 273만원,등록일2024-12-03,성별남,업체명(주)유앤알컴퍼니,연령무관,지원방법전화 후 방문 02-547-2283,지원서류,직종주차관리원,채용인원1명
구인상태구인마감,"근무내용<(유)탄천산업>
- 아파트경비원 1명
*아파트 경비 업무
*격일, 06:00~익일06:00(휴게 9.5시간)
*월급 232만원
*계약직(12개월)
*남, 일반경비원신임교육 이수자
*근무지 : 강서구 공항대로59길 64(등촌동) 한사랑2차삼성아파트 
*지원방법 : 전화 후 방문 010-9003-8350
*지원서류 : 이력서
*정보출처 : 고용24",근무시간격일06:00~익일06:00,근무지역강서구 등촌동,급여월급 232만원,등록일2024-12-03,성별남,업체명(유)탄천산업,연령무관,지원방법전화 후 방문 010-9003-8350,지원서류,직종아파트 경비원,채용인원1명
구인상태구인마감,"근무내용<(유)원광>
- 아파트경비원 1명
*아파트 경비 업무
*격일, 06:30~익일06:30(휴게 주간 3.5시간/야간 6.5)
*월급 221만원
*상용직
*남, 일반경비원신임교육 이수자
*근무지 : 송파구 올림픽로35길 104(신천동) 장미아파트 / 잠실역 7번 출구
*지원방법 : 문자지원 010-8481-9610 / 팩스지원 0504-462-5648
*지원서류 : 이력서
*정보출처 : 고용24",근무시간격일06:30~익일06:30,근무지역송파구 신청동,급여월급 221만원,등록일2024-12-03,성별남,업체명(유)원광,연령무관,지원방법문자지원 010-8481-9610,지원서류,직종아파트 경비원,채용인원1명
구인상태구인마감,"근무내용<주식회사 대성디엔씨>
- 건물관리원(소장) 1명
*현장의 관리 총괄, 입주자 관리 업무 등
*주5일 09:00~18:00
*월급 340만원
*상용직
*남, 경력 5년이상
*근무지 : 금천구 벚꽃로 146, 엘파크 독산 오피스텔 (독산동) / 독산역 1번 출구
*지원방법 : 팩스지원 031-213-9555 / 이메일지원 daesungdnctax@naver.com
*지원서류 : 이력서
*정보출처 : 고용24",근무시간주5일,근무지역금천구 독산동,급여월급 340만원,등록일2024-12-03,성별남,업체명주식회사 대성디엔씨,연령무관,지원방법팩스지원 031-213-9555,지원서류,직종건물관리원(소장),채용인원1명
구인상태구인마감,"근무내용<한국신문수송(주)>- 단순포장원(신문포장) 1명*신문 포장 업무*주5일 14:00~19:00 (일~목 근무)*월급 125만원*상용직*여, 오래 근무하실 분*근무지 : 서대문구 충정로3가 동아일보 발송장 / 충정로역 8번 출구*지원방법 : 팩스지원 02-392-8080 / 이메일지원 seunmi@naver.com*지원서류 : 이력서*정보출처 : 서울노인복지센터",근무시간주5일,근무지역서대문구 충정로3가,급여월급 125만원,등록일2024-12-02,성별여,업체명한국신문수송(주),연령~63세까지,지원방법팩스지원 02-392-8080,지원서류,직종단순포장원,채용인원1명
구인상태구인마감,"근무내용<우원개발(주)>
- 건설·채굴 단순 종사원 20명 
*지하철 터널 단순보통인부, 신호수 업무
*주5일 07:00~17:00 (휴게 2시간)
*시급 9,860원~13,000원, 식사제공(3식)
*상용직
*남, 경력 3년이상 우대
*근무지 : 성북구 도봉로 11 (길음동) / 미아사거리역 4번출구
*지원방법 : 팩스지원 02-984-0483
*지원서류 : 이력서
*정보출처 : 고용24",근무시간주5일,근무지역성북구 길음동,"급여시급 9,860원~13,000원",등록일2024-11-26,성별남,업체명우원개발(주),연령무관,지원방법팩스지원 02-984-0483,지원서류,직종건설·채굴 단순 종사원,채용인원20명
